,도서관명,시도명,시군구명,열람좌석수,자료수,위도,경도,도서관유형,건물면적,좌표
76,봉현작은도서관,서울특별시,관악구,35,12359,37.4871775,126.956625,작은도서관,1550.0,"37.4871775, 126.956625"
77,청룡작은도서관,서울특별시,관악구,25,12359,37.478018,126.94645700000001,작은도서관,495.0,"37.478018, 126.94645700000001"
78,삼성작은도서관,서울특별시,관악구,30,10732,37.464073,126.931802,작은도서관,642.0,"37.464073, 126.931802"
79,숲속작은도서관,서울특별시,관악구,20,3070,37.458841,126.94619499999999,작은도서관,94.29,"37.458841, 126.94619499999999"
80,책이랑놀이랑,서울특별시,관악구,35,12875,37.479991999999996,126.95858799999999,작은도서관,902.0,"37.479991999999996, 126.95858799999999"
81,책쉼터,서울특별시,관악구,20,3870,37.472972999999996,126.96021499999999,작은도서관,6985.0,"37.472972999999996, 126.96021499999999"
82,숲속작은도서관,서울특별시,관악구,20,3070,37.458841,126.94619499999999,작은도서관,94.29,"37.458841, 126.94619499999999"
83,지웰작은도서관,서울특별시,은평구,15,3172,37.64427599,126.9312529,작은도서관,70.71,"37.64427599, 126.9312529"
84,구립 청파도서관,서울특별시,용산구,75,32758,37.5539248195,126.96760591719999,공공도서관,324.0,"37.5539248195, 126.96760591719999"
85,청파 어린이 영어도서관,서울특별시,용산구,24,17368,37.5454736959,126.9685012617,작은도서관,113.14,"37.5454736959, 126.9685012617"
86,용암 어린이 영어도서관,서울특별시,용산구,24,16710,37.5410187594,126.98469285879999,작은도서관,113.14,"37.5410187594, 126.98469285879999"
87,북카페 청마루,서울특별시,용산구,32,5500,37.532452654800004,126.990478255,작은도서관,150.86,"37.532452654800004, 126.990478255"
88,후암동작은도서관 북앤캠프,서울특별시,용산구,33,6808,37.5486978477,126.9781504584,작은도서관,155.57,"37.5486978477, 126.9781504584"
89,해다올 작은도서관,서울특별시,용산구,20,10341,37.5460752787,126.98556994020001,작은도서관,94.29,"37.5460752787, 126.98556994020001"
90,남영동 작은도서관,서울특별시,용산구,13,8616,37.5457054867,126.973090878,작은도서관,61.29,"37.5457054867, 126.973090878"
91,원효로제2동 작은도서관 두드림,서울특별시,용산구,20,5508,37.5343532215,126.9515482962,작은도서관,94.29,"37.5343532215, 126.9515482962"
92,효창동 작은도서관,서울특별시,용산구,40,11765,37.5425092453,126.96184001350001,작은도서관,188.57,"37.5425092453, 126.96184001350001"
93,오렌지나무 작은도서관,서울특별시,용산구,17,7235,37.5389542495,126.95758291879999,작은도서관,80.14,"37.5389542495, 126.95758291879999"
94,한강로동 작은도서관,서울특별시,용산구,34,7522,37.528142242600005,126.9692280709,작은도서관,160.29,"37.528142242600005, 126.9692280709"
95,이촌2동 작은도서관,서울특별시,용산구,26,5974,37.5262814836,126.9546577844,작은도서관,122.57,"37.5262814836, 126.9546577844"
96,회나무 작은도서관,서울특별시,용산구,12,6594,37.5419023243,126.9901964343,작은도서관,56.57,"37.5419023243, 126.9901964343"
97,한남동 작은도서관,서울특별시,용산구,39,8406,37.5348569089,127.00026701559999,작은도서관,183.86,"37.5348569089, 127.00026701559999"
98,서빙고동 작은도서관,서울특별시,용산구,20,4645,37.5204767979,126.9946516618,작은도서관,94.29,"37.5204767979, 126.9946516618"
99,작은도서관 꿈꾸는 책마을,서울특별시,용산구,15,4696,37.5263009993,127.00018100690001,작은도서관,70.71,"37.5263009993, 127.00018100690001"
100,별밭 작은도서관,서울특별시,용산구,36,5470,37.5263009993,127.00018100690001,작은도서관,169.71,"37.5263009993, 127.00018100690001"
101,마고정 작은도서관,서울특별시,은평구,25,3501,37.63395286,126.9227981301,작은도서관,117.86,"37.63395286, 126.9227981301"
102,꿈지락작은도서관,서울특별시,은평구,50,7000,37.63174889,126.929022,작은도서관,235.71,"37.63174889, 126.929022"
103,꿈꾸는i작은도서관,서울특별시,은평구,60,4700,37.640262400000005,126.9211419425,작은도서관,282.86,"37.640262400000005, 126.9211419425"
104,응암도서관,서울특별시,은평구,40,17271,37.60030754,126.92963540000001,작은도서관,188.57,"37.60030754, 126.92963540000001"
105,푸른풀밭 작은도서관,서울특별시,은평구,30,4000,37.59883886,126.92007609999999,작은도서관,141.43,"37.59883886, 126.92007609999999"
106,응암2동 매바위북카페 (응암2동 주민센터),서울특별시,은평구,8,3136,37.59434778,126.92316890000001,작은도서관,37.71,"37.59434778, 126.92316890000001"
107,꿈샘도서관,서울특별시,은평구,16,6832,37.59262923,126.92069440000002,작은도서관,75.43,"37.59262923, 126.92069440000002"
108,불광천 작은도서관 (응암정보도서관 운영),서울특별시,은평구,10,4964,37.5904858592,126.9144370871,작은도서관,47.14,"37.5904858592, 126.9144370871"
109,서문어린이도서관,서울특별시,은평구,50,6451,37.59165203,126.91675015950001,작은도서관,235.71,"37.59165203, 126.91675015950001"
110,은평어린이영어도서관 (평생학습관 1층),서울특별시,은평구,30,14814,37.6077869,126.9213295,작은도서관,141.43,"37.6077869, 126.9213295"
111,역마루 작은도서관 (역촌동 주민센터),서울특별시,은평구,30,5041,37.60435017,126.91517830000001,작은도서관,141.43,"37.60435017, 126.91517830000001"
112,예뜰도서관,서울특별시,은평구,60,13000,37.59970722,126.9150085,작은도서관,282.86,"37.59970722, 126.9150085"
113,꿈꾸는 작은도서관 (꿈꾸는 다락방),서울특별시,은평구,40,2400,37.601996215999996,126.9185323915,작은도서관,188.57,"37.601996215999996, 126.9185323915"
114,초록길도서관,서울특별시,은평구,40,8045,37.6039323,126.9124473,작은도서관,188.57,"37.6039323, 126.9124473"
115,꿈마루 작은 도서관,서울특별시,은평구,20,1200,37.60262325,126.91889350000001,작은도서관,94.29,"37.60262325, 126.91889350000001"
116,청소년문화공간JU역촌동  작은 도서관,서울특별시,은평구,16,4500,37.60549462,126.91203349999999,작은도서관,75.43,"37.60549462, 126.91203349999999"
117,신사어린이도서관,서울특별시,은평구,40,9206,37.598048937,126.9121456,작은도서관,188.57,"37.598048937, 126.9121456"
118,시루뫼쉼터 (증산동 주민센터),서울특별시,은평구,22,2989,37.58425844,126.907082,작은도서관,103.71,"37.58425844, 126.907082"
119,성산작은도서관,서울특별시,은평구,30,5286,37.5841771285,126.9073025923,작은도서관,141.43,"37.5841771285, 126.9073025923"
120,서영 영어전문 작은도서관,서울특별시,은평구,15,3026,37.5865298724,126.9111446384,작은도서관,70.71,"37.5865298724, 126.9111446384"
121,이아이야작은도서관,서울특별시,은평구,20,1534,37.58251157,126.90525929999998,작은도서관,94.29,"37.58251157, 126.90525929999998"
122,은평노인종합복지관 작은 도서관,서울특별시,은평구,20,5047,37.6322515345,126.9299824191,작은도서관,94.29,"37.6322515345, 126.9299824191"
123,구산동 도서관마을,서울특별시,은평구,350,65745,37.6095101902,126.9130879469,공공도서관,2550.0,"37.6095101902, 126.9130879469"
124,내를건너서숲으로도서관,서울특별시,은평구,170,31159,37.591414,126.907816,공공도서관,1982.0,"37.591414, 126.907816"
125,은뜨락도서관,서울특별시,은평구,188,9042,37.6301404375,126.9199290898,공공도서관,1075.0,"37.6301404375, 126.9199290898"
126,은평작은도서관,서울특별시,은평구,14,12958,37.6024569702,126.92882355,작은도서관,66.0,"37.6024569702, 126.92882355"
127,녹번만화도서관,서울특별시,은평구,45,3197,37.6011055255,126.93514829680001,작은도서관,212.14,"37.6011055255, 126.93514829680001"
128,Book Bridge 작은 도서관,서울특별시,은평구,7,5521,37.59957186,126.9368368,작은도서관,33.0,"37.59957186, 126.9368368"
129,은광교회도서관,서울특별시,은평구,60,15000,37.6127035625,126.9297845,작은도서관,282.86,"37.6127035625, 126.9297845"
130,바다의 별 작은도서관,서울특별시,은평구,50,5402,37.6152603469,126.9264056222,작은도서관,235.71,"37.6152603469, 126.9264056222"
131,비전뜰 도서관,서울특별시,은평구,18,3000,37.6257009642,126.92079930959999,작은도서관,84.86,"37.6257009642, 126.92079930959999"
132,다니엘 작은도서관,서울특별시,은평구,20,4340,37.62578369,126.9275146,작은도서관,94.29,"37.62578369, 126.9275146"
133,천주교연신내성당 북카페,서울특별시,은평구,6,1506,37.6272305269,126.9287908705,작은도서관,28.29,"37.6272305269, 126.9287908705"
134,꿈담은 작은 도서관,서울특별시,은평구,12,2000,37.62566023,126.9285396,작은도서관,56.57,"37.62566023, 126.9285396"
135,갈현1동 고리마루작은도서관 (갈현1동 주민센터),서울특별시,은평구,11,5343,37.6236871299,126.916679,작은도서관,51.86,"37.6236871299, 126.916679"
136,정임도서관,서울특별시,은평구,40,4900,37.62781878,126.91929270000001,작은도서관,188.57,"37.62781878, 126.91929270000001"
137,효경골 마을문고 (갈현2동 주민센터),서울특별시,은평구,20,9675,37.6186769946,126.91577761280001,작은도서관,94.29,"37.6186769946, 126.91577761280001"
138,청소년도서관 작공,서울특별시,은평구,22,1948,37.61491999,126.91618600000001,작은도서관,103.71,"37.61491999, 126.91618600000001"
139,무지개영어도서관,서울특별시,은평구,16,2527,37.61494677,126.9075233,작은도서관,75.43,"37.61494677, 126.9075233"
140,대조꿈나무어린이도서관,서울특별시,은평구,56,15068,37.61387527,126.9207138,작은도서관,264.0,"37.61387527, 126.9207138"
141,대조제일교회  꿈꾸는 작은도서관,서울특별시,은평구,44,8491,37.61191616,126.9253585,작은도서관,207.43,"37.61191616, 126.9253585"
142,징검다리 도서관,서울특별시,은평구,10,7808,37.61079028,126.91834399999999,작은도서관,47.14,"37.61079028, 126.91834399999999"
143,은평문화의집 작은도서관 (응암1동 주민센터),서울특별시,은평구,50,11063,37.60075892,126.92690400000001,작은도서관,235.71,"37.60075892, 126.92690400000001"
144,쌍문3동 공립 작은도서관,서울특별시,서울특별시 도봉구,10,20253,37.648943700000004,127.02790859999999,작은도서관,66.0,"37.648943700000004, 127.02790859999999"
145,쌍문4동 공립 작은도서관,서울특별시,서울특별시 도봉구,18,12874,37.6564188,127.02836880000001,작은도서관,60.0,"37.6564188, 127.02836880000001"
146,창1동 공립 작은도서관,서울특별시,서울특별시 도봉구,12,14855,37.64833,127.04378,작은도서관,81.0,"37.64833, 127.04378"
147,창2동 공립 작은도서관,서울특별시,서울특별시 도봉구,2,13212,37.6413898,127.0356396,작은도서관,47.0,"37.6413898, 127.0356396"
148,창3동 공립 작은도서관,서울특별시,서울특별시 도봉구,16,10908,37.63811,127.04287,작은도서관,50.0,"37.63811, 127.04287"
149,창4동 공립 작은도서관,서울특별시,서울특별시 도봉구,0,14498,37.6522,127.05153999999999,작은도서관,26.0,"37.6522, 127.05153999999999"
150,창5동 공립 작은도서관,서울특별시,서울특별시 도봉구,42,20056,37.6562098,127.0434809,작은도서관,318.0,"37.6562098, 127.0434809"
151,북서울중학교 도서관,서울특별시,서울특별시 도봉구,0,29884,37.6813005,127.04302390000001,학교도서관,392.0,"37.6813005, 127.04302390000001"
152,창북중학교 도서관,서울특별시,서울특별시 도봉구,0,26488,37.649470799999996,127.03857659999998,학교도서관,206.0,"37.649470799999996, 127.03857659999998"
153,도봉구청사 행복작은도서관,서울특별시,서울특별시 도봉구,21,30135,37.6686287,127.04704960000001,작은도서관,218.0,"37.6686287, 127.04704960000001"
154,서울특별시교육청도봉도서관(종합자료실),서울특별시,서울특별시 도봉구,78,161366,37.6525847,127.0129824,공공도서관,2743.0,"37.6525847, 127.0129824"
155,서울특별시교육청도봉도서관(어린이자료실),서울특별시,서울특별시 도봉구,61,56850,37.652570000000004,127.0129,공공도서관,2743.0,"37.652570000000004, 127.0129"
156,서울특별시교육청도봉도서관(디지털자료실),서울특별시,서울특별시 도봉구,56,11580,37.6527461,127.01296629999999,공공도서관,2743.0,"37.6527461, 127.01296629999999"
157,도봉문화정보도서관(종합자료실),서울특별시,서울특별시 도봉구,80,45083,37.64458079999999,127.04388270000001,공공도서관,3216.0,"37.64458079999999, 127.04388270000001"
158,도봉문화정보도서관(어린이열람실),서울특별시,서울특별시 도봉구,48,26012,37.64458079999999,127.04388270000001,공공도서관,3216.0,"37.64458079999999, 127.04388270000001"
159,도봉어린이문화정보도서관(영 유아),서울특별시,서울특별시 도봉구,50,20095,37.659007200000005,127.0494699,공공도서관,1498.0,"37.659007200000005, 127.0494699"
160,도봉 기적의 도서관,서울특별시,서울특별시 도봉구,0,20732,37.6807721,127.0502436,공공도서관,4489.0,"37.6807721, 127.0502436"
161,도봉어린이문화정보도서관(디지털자료실),서울특별시,서울특별시 도봉구,8,1017,37.659007200000005,127.0494699,공공도서관,1498.0,"37.659007200000005, 127.0494699"
162,"도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)",서울특별시,서울특별시 도봉구,67,44710,37.659007200000005,127.0494699,공공도서관,1498.0,"37.659007200000005, 127.0494699"
163,학마을도서관 (종합자료실),서울특별시,서울특별시 도봉구,36,35368,37.6621078,127.0278197,공공도서관,1781.0,"37.6621078, 127.0278197"
164,학마을도서관 (어린이 자료실),서울특별시,서울특별시 도봉구,0,21390,37.66211,127.02781999999999,공공도서관,1781.0,"37.66211, 127.02781999999999"
165,방학동영유아플라자,서울특별시,서울특별시 도봉구,0,15917,37.66323,127.03033,공공도서관,103.0,"37.66323, 127.03033"
166,창동영유아플라자,서울특별시,서울특별시 도봉구,0,5702,37.63351,127.0411,공공도서관,46.0,"37.63351, 127.0411"
167,무수골 도서관,서울특별시,서울특별시 도봉구,12,31848,37.682958899999996,127.0428608,어린이도서관,356.0,"37.682958899999996, 127.0428608"
168,방학1동 공립 작은도서관,서울특별시,서울특별시 도봉구,13,13328,37.6641869,127.04063670000001,작은도서관,105.0,"37.6641869, 127.04063670000001"
169,방학2동 공립 작은도서관,서울특별시,서울특별시 도봉구,6,14298,37.668177,127.0350425,작은도서관,60.0,"37.668177, 127.0350425"
170,방학3동 공립 작은도서관,서울특별시,서울특별시 도봉구,26,24289,37.659890000000004,127.02382,작은도서관,269.0,"37.659890000000004, 127.02382"
171,도봉1동 공립 작은도서관,서울특별시,서울특별시 도봉구,2,15170,37.678670399999994,127.04335690000002,작은도서관,83.0,"37.678670399999994, 127.04335690000002"
172,도봉2동 공립 작은도서관,서울특별시,서울특별시 도봉구,12,14187,37.6696229,127.0465415,작은도서관,53.0,"37.6696229, 127.0465415"
173,쌍문1동 공립 작은도서관,서울특별시,서울특별시 도봉구,6,14542,37.6479992,127.02603640000001,작은도서관,90.0,"37.6479992, 127.02603640000001"
174,쌍문2동 공립 작은도서관,서울특별시,서울특별시 도봉구,12,17620,37.6580211,127.03875079999999,작은도서관,71.0,"37.6580211, 127.03875079999999"
175,꿈을이루는작은도서관,서울특별시,마포구,20,16827,37.547105,126.952155,작은도서관,107.0,"37.547105, 126.952155"
176,아름드리작은도서관,서울특별시,마포구,20,17834,37.560313,126.90231599999998,작은도서관,181.0,"37.560313, 126.90231599999998"
177,해오름작은도서관,서울특별시,마포구,32,16065,37.555848,126.94236799999999,작은도서관,168.0,"37.555848, 126.94236799999999"
178,성메작은도서관,서울특별시,마포구,20,18208,37.56861,126.908975,작은도서관,165.0,"37.56861, 126.908975"
179,성산글마루작은도서관,서울특별시,마포구,20,15268,37.569702,126.90142,작은도서관,188.0,"37.569702, 126.90142"
180,늘푸른소나무작은도서관,서울특별시,마포구,20,18356,37.542233,126.95549399999999,작은도서관,174.0,"37.542233, 126.95549399999999"
181,복사골작은도서관,서울특별시,마포구,35,14527,37.539535,126.951922,작은도서관,350.0,"37.539535, 126.951922"
182,용강동작은도서관,서울특별시,마포구,20,14426,37.542328000000005,126.94283,작은도서관,190.0,"37.542328000000005, 126.94283"
183,초록숲작은도서관,서울특별시,마포구,50,8852,37.552161,126.951225,작은도서관,260.0,"37.552161, 126.951225"
184,마포푸르메어린이도서관,서울특별시,마포구,70,11465,37.584644,126.88051499999999,공공도서관,269.0,"37.584644, 126.88051499999999"
185,마포중앙도서관,서울특별시,마포구,620,131407,37.564019,126.908442,공공도서관,5131.0,"37.564019, 126.908442"
186,마포구립하늘도서관,서울특별시,마포구,130,37657,37.566379,126.90161599999999,공공도서관,426.0,"37.566379, 126.90161599999999"
187,마포구립서강도서관,서울특별시,마포구,209,70348,37.547737,126.93205900000001,공공도서관,1146.0,"37.547737, 126.93205900000001"
188,마포어린이영어도서관,서울특별시,마포구,20,20514,37.539535,126.951922,어린이도서관,216.48,"37.539535, 126.951922"
189,꿈나래어린이영어도서관,서울특별시,마포구,40,21690,37.555234999999996,126.90568400000001,어린이도서관,221.33,"37.555234999999996, 126.90568400000001"
190,성북정보도서관,서울특별시,성북구,480,180835,37.6049514,127.05058580000001,공공도서관,6667.0,"37.6049514, 127.05058580000001"
191,아리랑도서관,서울특별시,성북구,274,148278,37.60005935,127.01392859999999,공공도서관,2018.0,"37.60005935, 127.01392859999999"
192,해오름도서관,서울특별시,성북구,70,38922,37.59290593,127.00940259999999,공공도서관,342.0,"37.59290593, 127.00940259999999"
193,종암동새날도서관,서울특별시,성북구,110,38397,37.599036100000006,127.03522199999999,공공도서관,578.0,"37.599036100000006, 127.03522199999999"
194,서경로꿈마루도서관,서울특별시,성북구,30,8930,37.61146229,127.0138628,작은도서관,126.0,"37.61146229, 127.0138628"
195,석관동미리내도서관,서울특별시,성북구,89,30967,37.613479299999995,127.06549220000001,공공도서관,542.0,"37.613479299999995, 127.06549220000001"
196,달빛마루도서관,서울특별시,성북구,130,48346,37.6050584,127.03098929999999,공공도서관,829.0,"37.6050584, 127.03098929999999"
197,정릉도서관,서울특별시,성북구,81,25981,37.60474125,127.01058190000002,공공도서관,283.0,"37.60474125, 127.01058190000002"
198,청수도서관,서울특별시,성북구,95,30659,37.61174732,127.0107732,공공도서관,462.0,"37.61174732, 127.0107732"
199,아리랑어린이도서관,서울특별시,성북구,110,32484,37.59883044,127.01362490000001,공공도서관,693.0,"37.59883044, 127.01362490000001"
200,이음도서관,서울특별시,성북구,30,2501,37.58941179999999,127.01683270000001,작은도서관,179.0,"37.58941179999999, 127.01683270000001"
201,월곡꿈그림도서관,서울특별시,성북구,82,13586,37.60507324,127.04136740000001,공공도서관,340.0,"37.60507324, 127.04136740000001"
202,장위행복누림도서관,서울특별시,성북구,60,6391,37.61589067,127.04583600000001,공공도서관,398.0,"37.61589067, 127.04583600000001"
203,성북길빛도서관,서울특별시,성북구,250,153351,37.60996089,127.026443,공공도서관,1396.94,"37.60996089, 127.026443"
204,강북문화정보도서관,서울특별시,강북구,282,239591,37.625174,127.0360815951,공공도서관,5574.0,"37.625174, 127.0360815951"
205,강북청소년문화정보도서관,서울특별시,강북구,154,45693,37.6230802776,127.02155412129999,공공도서관,1777.0,"37.6230802776, 127.02155412129999"
206,솔샘문화정보도서관,서울특별시,강북구,132,55817,37.6204759388,127.012452,공공도서관,944.0,"37.6204759388, 127.012452"
207,송중문화정보도서관,서울특별시,강북구,67,31122,37.618342,127.0299391507,공공도서관,511.0,"37.618342, 127.0299391507"
208,수유문화정보도서관,서울특별시,강북구,152,40459,37.6300509732,127.01754299999999,공공도서관,951.0,"37.6300509732, 127.01754299999999"
209,중곡문화체육센터도서관,서울특별시,광진구,259,75764,37.5677777604,127.08480344719999,공공도서관,2032.0,"37.5677777604, 127.08480344719999"
210,용답동어린이작은도서관,서울특별시,성동구,20,6153,37.564066,127.055517,공공도서관,103.0,"37.564066, 127.055517"
211,송정동늘푸른작은도서관,서울특별시,성동구,6,5714,37.5510117564,127.068522,공공도서관,29.0,"37.5510117564, 127.068522"
212,성수2가제3동작은도서관,서울특별시,성동구,14,10969,37.54822203,127.055245898,공공도서관,99.0,"37.54822203, 127.055245898"
213,성수2가제1동어린이작은도서관,서울특별시,성동구,30,7657,37.539501,127.05405,공공도서관,59.0,"37.539501, 127.05405"
214,성수1가제2동어린이작은도서관,서울특별시,성동구,16,3603,37.5464030037,127.0443495423,공공도서관,35.0,"37.5464030037, 127.0443495423"
215,성수1가제1동작은도서관,서울특별시,성동구,20,7707,37.542037,127.04968600000001,공공도서관,60.0,"37.542037, 127.04968600000001"
216,옥수동북카페,서울특별시,성동구,5,3862,37.54367,127.01348600000001,공공도서관,24.0,"37.54367, 127.01348600000001"
217,금호4가동어린이작은도서관,서울특별시,성동구,20,7304,37.547171,127.02231,공공도서관,134.0,"37.547171, 127.02231"
218,"금호2,3가동어린이작은도서관",서울특별시,성동구,15,8794,37.553233,127.02091109530001,공공도서관,77.0,"37.553233, 127.02091109530001"
219,금호1가동우리동네북카페책단지꿀단지,서울특별시,성동구,28,4285,37.554834,127.02163700000001,공공도서관,71.0,"37.554834, 127.02163700000001"
220,응봉동어린이작은도서관,서울특별시,성동구,18,6379,37.553118,127.033401,공공도서관,84.0,"37.553118, 127.033401"
221,행당제2동어린이작은도서관,서울특별시,성동구,40,11760,37.5582215718,127.02936100000001,공공도서관,100.0,"37.5582215718, 127.02936100000001"
222,사근동어린이놀이터도서관,서울특별시,성동구,20,4964,37.5614997515,127.0453273317,공공도서관,51.8,"37.5614997515, 127.0453273317"
223,마장동작은도서관,서울특별시,성동구,20,4990,37.5663182489,127.0454072202,공공도서관,46.0,"37.5663182489, 127.0454072202"
224,왕십리제2동작은도서관,서울특별시,성동구,7,3293,37.561057,127.0305138351,공공도서관,50.58,"37.561057, 127.0305138351"
225,왕십리도선동희망문고,서울특별시,성동구,35,6627,37.567873934,127.0255270951,공공도서관,99.35,"37.567873934, 127.0255270951"
